,name,tags,state,_runtime,_step,_timestamp,_wandb,inference_time,taxonomy_mapping_based,training_time,group,system,scenario,base_scenario,database_name,sql_file_path,meta_file_path,groundtruth_mapping_path,m_attr_f1,m_attr_precision,m_attr_recall,m_cls_f1,m_cls_precision,m_cls_recall,m_rel_f1,m_rel_precision,m_rel_recall,n_attr_f1,n_attr_precision,n_attr_recall,n_cls_f1,n_cls_precision,n_cls_recall,n_rel_f1,n_rel_precision,n_rel_recall
0,giddy-waterfall-822,w3c_final_2811_2,finished,2.882397,2,1732838543.599235,{'runtime': 2},0.9540598392486572,"{'f1': 1, 'precision': 1, 'recall': 1}",0,attributes,d2rmapper,receipt,fk_pk_descriptive,attributes__fk_pk_descriptive__receipt,train_data/attributes/fk_pk_descriptive/receipt/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/fk_pk_descriptive/receipt/mapping.json,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,eternal-wood-823,w3c_final_2811_2,finished,1.434156,2,1732838547.8052,{'runtime': 1},0.4328680038452149,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,d2rmapper,adult,table_checks,attributes__table_checks__adult,train_data/attributes/table_checks/adult/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/table_checks/adult/mapping.json,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2,brisk-silence-824,w3c_final_2811_2,finished,1.534544,2,1732838552.73438,{'runtime': 1},0.4992392063140869,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,d2rmapper,person,cryptic_attribute_names,attributes__cryptic_attribute_names__person,train_data/attributes/cryptic_attribute_names/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/cryptic_attribute_names/person/mapping.json,0.888888888888889,1.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3,devoted-vortex-825,w3c_final_2811_2,finished,1.302467,2,1732838557.109518,{'runtime': 1},0.4341540336608886,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,d2rmapper,person,no_pk_available,attributes__no_pk_available__person,train_data/attributes/no_pk_available/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/no_pk_available/person/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,eager-surf-826,w3c_final_2811_2,finished,1.327851,2,1732838561.548131,{'runtime': 1},0.42088794708251953,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,d2rmapper,company,no_pk_available,attributes__no_pk_available__company,train_data/attributes/no_pk_available/company/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/no_pk_available/company/mapping.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
5,stellar-music-827,w3c_final_2811_2,finished,1.373593,2,1732838566.415513,{'runtime': 1},0.4445402622222901,"{'f1': 0, 'precision': 0, 'recall': 0}",0,attributes,d2rmapper,person_attributes,no_pk_available,attributes__no_pk_available__person_attributes,train_data/attributes/no_pk_available/person_attributes/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/attributes/no_pk_available/person_attributes/mapping.json,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6,denim-donkey-828,w3c_final_2811_2,finished,1.682025,2,1732838570.96159,{'runtime': 1},0.4452500343322754,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,d2rmapper,person,attributes,basic__attributes__person,train_data/basic/attributes/person/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/attributes/person/mapping.json,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7,visionary-totem-829,w3c_final_2811_2,finished,1.91884,2,1732838576.076971,{'runtime': 1},0.8356351852416992,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,d2rmapper,movie_director_simple,relationship,basic__relationship__movie_director_simple,train_data/basic/relationship/movie_director_simple/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/relationship/movie_director_simple/mapping.json,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
8,laced-wind-830,w3c_final_2811_2,finished,1.685739,2,1732838581.12129,{'runtime': 1},0.5667831897735596,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,d2rmapper,movie_director_with_attributes,relationship,basic__relationship__movie_director_with_attributes,train_data/basic/relationship/movie_director_with_attributes/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/relationship/movie_director_with_attributes/mapping.json,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
9,wild-yogurt-831,w3c_final_2811_2,finished,1.263359,2,1732838585.422793,{'runtime': 1},0.4133610725402832,"{'f1': 0, 'precision': 0, 'recall': 0}",0,basic,d2rmapper,company,table,basic__table__company,train_data/basic/table/company/schema.sql,./evaluator/mapping_parser/d2rq_mapping/base_meta.json,train_data/basic/table/company/mapping.json,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
